variable,long_name,units,ice_daily,ice_month,ice_static,ocean_annual,ocean_annual_z,ocean_cobalt_btm,ocean_cobalt_daily_2d,ocean_cobalt_fdet_100,ocean_cobalt_fluxes_int,ocean_cobalt_omip_2d,ocean_cobalt_omip_daily,ocean_cobalt_omip_rates_year_z,ocean_cobalt_omip_sfc,ocean_cobalt_sfc,ocean_cobalt_tracers_instant,ocean_cobalt_tracers_int,ocean_cobalt_tracers_month_z,ocean_daily,ocean_month,ocean_month_snap,ocean_month_z,ocean_static,sea_ice_geometry,,
rhopot0,Potential density referenced to surface,kg m-3,,,,,y,,,,,,,,,,,,,,,,y,,,,
rhoinsitu,In situ density,kg m-3,,,,,y,,,,,,,,,,,,,,,,y,,,,
btm_temp,Bottom Temperature,deg C,,,,,,y,,,,,,,,,,,,,,,,,,,
btm_o2,Bottom Oxygen,mol kg-1,,,,,,y,y,,,,,,,,,,,,,,,,,,
ffedet_btm,fedet sinking flux burial,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
ffedi_btm,diazo Fe sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
ffesm_btm,small phyto Fe sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
ffemd_btm,medium phyto Fe sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
ffelg_btm,large phyto Fe sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
ffe_sed,Sediment iron efflux,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
flithdet_btm,Lithogenic detrital sinking flux burial,g m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fndet_btm,ndet sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fndi_btm,diazo N sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fnsm_btm,small phyto N sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fnmd_btm,medium phyto N sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fnlg_btm,large phyto N sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fpdet_btm,pdet sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fpdi_btm,diazo P sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fpsm_btm,small phyto P sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fpmd_btm,medium phyto P sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fplg_btm,large phyto P sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fsidet_btm,sidet sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fsimd_btm,medium phyto Si sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fsilg_btm,large phyto Si sinking flux to bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fcadet_arag_btm,Aragonite sinking flux at bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fcadet_calc_btm,Calcite sinking flux at bottom,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fcased_burial,Calcite permanent burial flux,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fcased_redis,Calcite redissolution from sediments,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fnfeso4red_sed,Sediment Ndet Fe and SO4 reduction flux,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
fno3denit_sed,Sediment denitrification flux,mol m-2 s-1,,,,,,y,,,,,,,,,,,,,,,,,,,
